year, title, artist, src, genre_id
1982, Black Metal, Venom, BlackMetal.mp3, 4
1983, Black Magic, Slayer, BlackMagic.mp3 , 4
1984, Massacra, Hellhammer, Massacra.mp3, 4
1985, Outbreak of Evil, Sodom, OutbreakOfEvil.mp3 , 4
1986, Spirits of Evil, Vulcano SpiritsOfEvil.mp3, 4
1987, Deathcrush, Mayhem, Deathcrush.mp3, 4
1988, A Fine Day to Die, Bathory, AFineDayToDie.mp3 , 4
1989, Agonized to Suicide, Mortem, AgonizedToSuicide.mp3, 4
1990, Fallen Angel of Doom, Blasphemy, FallenAngelOfDoom.mp3 , 4
1991, Pád Modly, Master's Hammer, PádModly.mp3, 4
1992, Kathaarian Life Code, Darkthrone, KathaarianLifeCode.mp3, 4
1993, Dark Medieval Times, Satyricon, DarkMedievalTimes.mp3, 4
1994, I Am The Black Wizards, Emperor, IAmTheBlackWizards.mp3 , 4
1995, Night's Blood, Dissection, NightsBlood.mp3 , 4
1996, Dunkelheit, Burzum, Dunkelheit.mp3, 4
1997, Hymne I - Wolf and Fear, Ulver, HymneIWolfAndFear.mp3, 4
1998, , Gorgoroth, , 4
1999, Withstand The Fall Of Time, Immortal, WithstandTheFallOfTime.mp3,
2000, I Am the Wargod - Ode to the Battle Slain, Deströyer 666, IAmTheWarGod.mp3, 4
2001, Farewell, Summoning, Farewell.mp3, 4
2002, , Inquisition, , 4
2003, Fagning, Windir, Fagning.mp3, 4
2004, , Drudkh, , 4
2005, , Moonsorrow, , 4
2006, You Were But A Ghost In My Arms, Agalloch, YouWereButAGhostInMyArms.mp3, 4
2007, , Gris, , 4
2008, , Darkspace, , 4
2009, , Nokturnal Mortum, , 4
2010, , Deathspell Omega, , 4
2011, , Odz Manouk/Tukaaria, , 4
2012, With Hearts Toward None III, Mgła, WithHeartsTowardNoneIII.mp3, 4
2013, , Bölzer, , 4
2014, , Behemoth, , 4
2015, , Батюшка
2016, , Mare Cognitum, , 4
2017, , The Ruins of Beverast, , 4
2018, , Путь, , 4
2019, , Abbath, , 4
2020, , Paysage d'Hiver, , 4
2021, Fn .380 Acp#19074, 1914, Fn380Acp19074.mp3, 4
2022, , Bekëth Nexëhmü, , 4
2023, Cedar Skeletons, Panopticon, CedarSkeletons.mp3, 4
