year, title, artist, src, genre_id
2004, 봄바람, 길닦음, 봄바람.mp3, 2
2005, Le secret, Alcest, LeSecret.mp3, 2
2006, Ruines humaines, Amesoeurs, RuinesHumaines.mp3, 2
2007, Souvenirs D'Un Autre Monde, Alcest, SouvenirsD\'unAutreMonde.mp3, 2
2008, Kalte Tage, Lantlôs, KalteTage.mp3, 2
2009, This Dreadful Emptiness, Austere, 2
2010, These Nights Were Ours, Lantlôs, TheseNightsWereOurs.mp3, 2
2011, Fatigue, Heretoir, Fatigue.mp3, 2
2012, Lungs Filled With Water, Harakiri For The Sky, LungsFilledWithWater.mp3, 2
2013, Dream House, Deafheaven, DreamHouse.mp3, 2
2014, Like Falling Leaves, Woods of Desolation, LikeFallingLeaves.mp3, 2
2015, The Long Goodbye, An Autumn For Crippled Children, TheLongGoodbye.mp3, 2
2016, The Root That Grows Among The Rocks, An Open Letter, TheRootThatGrowsAmongTheRocks.mp3, 2
2017, , , 2
2018, Bruma, Møl, Bruma.mp3, 2
2019, I Want To Be With You, Sadness, IWantToBeWithYou.mp3, 2
2020, Empathica II: Everwinter, Unreqvited, EmpathicaIIEverwinter.mp3.mp3, 2
2021, Nails, Sonhos Tomam Conta, Nails.mp3, 2
2022, Chimera, 明日の叙景, Chimera.mp3, 2
2023, The Glory Of The Ocean, Agriculture, TheGloryOfTheOcean.mp3, 2
2024, Pale Morning Horizon, abriction, PaleMorningHorizon.mp3, 2
