year, title, artist, src, genre_id
2002, Dreaming In Dog Years, The Red Chord, DreamingInDogYears.mp3, 5
2003, Laid To Rest, All Shall Perish, LaidToRest.mp3, 5
2004, Carbomb, The Acacia Strain, Carbomb.mp3, 5
2005, Entombment Of A Machine, Job For A Cowboy, EntombmentOfAMachine.mp3, 5
2006, Pray For Plagues, Bring Me The Horizon, PrayForPlagues.mp3, 5
2007, No Pity For A Coward, Suicide Silence, NoPityForACoward.mp3, 5
2008, This Is Exile, Whitechapel ThisIsExile.mp3, 5
2009, Aspiration, After The Burial, Aspiration.mp3, 5
2010, Dark Passenger, Veil Of Maya, DarkPassenger.mp3, 5
2011, Recreate, Born of Osiris, Recreate.mp3, 5
2012, Widower, Make Them Suffer, Widower.mp3, 5
2013, Reign Of Darkness, Thy Art Is Murder, ReignOfDarkness.mp3, 5
2014, Playing With Fire, Chelsea Grin, PlayingWithFire.mp3, 5
2015, Leech, AngelMaker, Leech.mp3, 5
2016, Blasphemian, Infant Annihilator, Blasphemian.mp3, 5
2017, The Heretic Prevails, Shadow of Intent, TheHereticPrevails.mp3, 5
2018, Eclipse, Brand Of Sacrifice, Eclipse.mp3, 5
2019, Demolisher, Slaughter To Prevail, Demolisher.mp3, 5
2020, Insects, DarkoUS, Insects.mp3, 5
2021, To Hellfire, Lorna Shore, ToHellfire.mp3, 5
2022, Far From Heaven, Fit For An Autopsy, FarFromHeaven.mp3, 5
2023, Amongst The Low And Empty, Signs Of The Swarm, AmongstTheLowAndEmpty.mp3, 5
