year, title, artist, src, genre_id
1992, , , , 7
1993, , , , 7
1994, , , , 7
1995, , , , 7
1996, , , , 7
1997, , , , 7
1998, , , , 7
1999, , Poison The Well, , 7
2000, , , , 7
2001, , Converge, , 7
2002, , Between the Buried and Me, , 7
2003, , As I Lay Dying, , 7
2004, , Killswitch Engage, , 7
2005, , Bullet For My Valentine, , 7
2006, , All That Remians, , 7
2007, , Parkway Drive, , 7
2008, , Underoath, , 7
2009, White Washed, August Burns Red, WhiteWashed.mp3, 7
2010, , The Devil Wears Prada, , 7
2011, The Flood, Of Mice & Men, TheFlood.mp3, 7
2012, Shapeless(Judgement), In Hearts Wake, Shapeless(Judgement).mp3, 7
2013, Sempiternal, Bring Me the Horizon, Sempiternal.mp3, 7
2014, , Architects, , 7
2015, The River, Wage War, TheRiver.mp3, 7
2016, DeadMemory, Fit For A King, DeadMemory, 7
2017, , Crystal Lake, , 7
2018, Afterdusk, Silent Planet, Afterdusk.mp3, 7
2019, Jinn, Northlane, Jinn.mp3, 7
2020, Snowblood, ERRA, Snowblood.mp3, 7
2021, Circle With Me, Spiritbox, CircleWithMe.mp3, 7
2022, The Death We Seek, Currents, TheDeathWeSeek.mp3, 7
2023, ,Invent Animate, , 7
2024, , , , 7
