year, title, artist, src, genre_id
1983, , Warlord, , 7
1984, , , , 7
1985, , , , 7
1986, , , , 7
1987, , , , 7
1988, I Want Out, Helloween, IWantOut.mp3, 7
1989, , , , 7
1990, , , , 7
1991, , , , 7
1992, , , , 7
1993, , , , 7
1994, , , , 7
1995, , , , 7
1996, , Angra, , 7
1997, , Stratovarius, , 7
1998, Mirror Mirror, Blind Guardian, MirrorMirror.mp3, 7
1999, , Sonata Arctica, , 7
2000, , , , 7
2001, , , , 7
2002, , , , 7
2003, , , , 7
2004, , Wintersun, , 7
2005, , Kamelot, , 7
2006, , DragonForce, , 7
2007, , , , 7
2008, , Theocracy, , 7
2009, , , , 7
2010, , , , 7
2011, , , , 7
2012, , , , 7
2013, , , , 7
2014, , , , 7
2015, , , , 7
2016, , , , 7
2017, , , , 7
2018, , , , 7
2019, , , , 7
2020, , , , 7
2021, , , , 7
2022, , , , 7
2023, The Fronzen Lands, Fellowship, TheFronzenLands.mp3, 7
2024, , , , 7
